Branch_Item,From,To,LF_Area,Loss_zone_B,Circuit,Branch_Type,Branch_r,Branch_x,Branch_c,Branch_b,LR_01,LR_02,LR_03,Control_Bus,Branch_a,Branch_phi,MinTap,MaxTap,Stepsize,Min_Vol,Max_Vol,Smax
1,1,2,1,1,1,0,0.0192,0.0575,0.0528,0,0,0,0,0,0,0,0,0,0,0.95,1.05,220
2,1,3,1,1,1,0,0.0452,0.1652,0.0408,0,0,0,0,0,0,0,0,0,0,0.95,1.05,100
3,2,4,1,1,1,0,0.057,0.1737,0.0368,0,0,0,0,0,0,0,0,0,0,0.95,1.05,55
4,3,4,1,1,1,0,0.0132,0.0379,0.0084,0,0,0,0,0,0,0,0,0,0,0.95,1.05,95
5,2,5,1,1,1,0,0.0472,0.1983,0.0418,0,0,0,0,0,0,0,0,0,0,0.95,1.05,100
6,2,6,1,1,1,0,0.0581,0.1763,0.0374,0,0,0,0,0,0,0,0,0,0,0.95,1.05,75
7,4,6,1,1,1,0,0.0119,0.0414,0.009,0,0,0,0,0,0,0,0,0,0,0.95,1.05,90
8,5,7,1,1,1,0,0.046,0.116,0.0204,0,0,0,0,0,0,0,-8,8,0.1,0.95,1.05,25
9,6,7,1,1,1,0,0.0267,0.082,0.017,0,0,0,0,0,0,0,-8,8,0.1,0.95,1.05,45
10,6,8,1,1,1,0,0.012,0.042,0.009,0,0,0,0,0,0,0,-8,8,0.1,0.95,1.05,40
11,6,9,1,1,1,1,0,0.208,0,0,0,0,0,0,0.978,0,0,0,0,0.95,1.05,35
12,6,10,1,1,1,1,0,0.556,0,0,0,0,0,0,0.969,0,0,0,0,0.95,1.05,20
13,9,11,1,1,1,1,0,0.208,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,20
14,9,10,1,1,1,1,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,35
15,4,12,1,1,1,1,0,0.256,0,0,0,0,0,0,0.932,0,0,0,0,0.95,1.05,60
16,12,13,1,1,1,1,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,15
17,12,14,1,1,1,0,0.1231,0.2559,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,10
18,12,15,1,1,1,0,0.0662,0.1304,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,25
19,12,16,1,1,1,0,0.0945,0.1987,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,10
20,14,15,1,1,1,0,0.221,0.1997,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,5
21,16,17,1,1,1,0,0.0524,0.1923,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,5
22,15,18,1,1,1,0,0.1073,0.2185,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,10
23,18,19,1,1,1,0,0.0639,0.1292,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,5
24,19,20,1,1,1,0,0.034,0.068,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,10
25,10,20,1,1,1,0,0.0936,0.209,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,15
26,10,17,1,1,1,0,0.0324,0.0845,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,10
27,10,21,1,1,1,0,0.0348,0.0749,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,25
28,10,22,1,1,1,0,0.0727,0.1499,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,10
29,21,22,1,1,1,0,0.0116,0.0236,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,5
30,15,23,1,1,1,0,0.1,0.202,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,10
31,22,24,1,1,1,0,0.115,0.179,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,10
32,23,24,1,1,1,0,0.132,0.27,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,5
33,24,25,1,1,1,0,0.1885,0.3292,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,5
34,25,26,1,1,1,0,0.2544,0.38,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,5
35,25,27,1,1,1,0,0.1093,0.2087,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,10
36,28,27,1,1,1,1,0,0.396,0,0,0,0,0,0,0.968,0,0,0,0,0.95,1.05,25
37,27,29,1,1,1,0,0.2198,0.4153,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,10
38,27,30,1,1,1,0,0.3202,0.6027,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,10
39,29,30,1,1,1,0,0.2399,0.4533,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,5
40,8,28,1,1,1,0,0.0636,0.2,0.0428,0,0,0,0,0,0,0,0,0,0,0.95,1.05,5
41,6,28,1,1,1,0,0.0169,0.0599,0.013,0,0,0,0,0,0,0,0,0,0,0.95,1.05,25
