BRANCH DATA;FOLLOWS;80;ITEMS;;;;;;;;;;;;;;;;;
from;to;Area_number;Loss_zone;Circuits;branchtype;r;x;c;rateA;rateB;rateC;cbn;side;a;fi;mintap;maxtap;stepzise;minlimit;maxlimit
1;2;1;1;1;0;0.0083;0.028;0.129;0;0;0;0;0;0;0;0;0;0;0;0
2;3;1;1;1;0;0.0298;0.085;0.0818;0;0;0;0;0;0;0;0;0;0;0;0
3;4;1;1;1;0;0.0112;0.0366;0.038;0;0;0;0;0;0;0;0;0;0;0;0
4;5;1;1;1;0;0.0625;0.132;0.0258;0;0;0;0;0;0;0;0;0;0;0;0
4;6;1;1;1;0;0.043;0.148;0.0348;0;0;0;0;0;0;0;0;0;0;0;0
6;7;1;1;1;0;0.02;0.102;0.0276;0;0;0;0;0;0;0;0;0;0;0;0
6;8;1;1;1;0;0.0339;0.173;0.047;0;0;0;0;0;0;0;0;0;0;0;0
8;9;1;1;1;0;0.0099;0.0505;0.0548;0;0;0;0;0;0;0;0;0;0;0;0
9;10;1;1;1;0;0.0369;0.1679;0.044;0;0;0;0;0;0;0;0;0;0;0;0
9;11;1;1;1;0;0.0258;0.0848;0.0218;0;0;0;0;0;0;0;0;0;0;0;0
9;12;1;1;1;0;0.0648;0.295;0.0772;0;0;0;0;0;0;0;0;0;0;0;0
9;13;1;1;1;0;0.0481;0.158;0.0406;0;0;0;0;0;0;0;0;0;0;0;0
13;14;1;1;1;0;0.0132;0.0434;0.011;0;0;0;0;0;0;0;0;0;0;0;0
13;15;1;1;1;0;0.0269;0.0869;0.023;0;0;0;0;0;0;0;0;0;0;0;0
1;15;1;1;1;0;0.0178;0.091;0.0988;0;0;0;0;0;0;0;0;0;0;0;0
1;16;1;1;1;0;0.0454;0.206;0.0546;0;0;0;0;0;0;0;0;0;0;0;0
1;17;1;1;1;0;0.0238;0.108;0.0286;0;0;0;0;0;0;0;0;0;0;0;0
3;15;1;1;1;0;0.0162;0.053;0.0544;0;0;0;0;0;0;0;0;0;0;0;0
4;18;1;1;1;0;0;0.555;0;0;0;0;0;0;0.97;0;0;0;0;0;0
4;18;1;1;1;0;0;0.43;0;0;0;0;0;0;0.978;0;0;0;0;0;0
5;6;1;1;1;0;0.0302;0.0641;0.0124;0;0;0;0;0;0;0;0;0;0;0;0
7;8;1;1;1;0;0.0139;0.0712;0.0194;0;0;0;0;0;0;0;0;0;0;0;0
10;12;1;1;1;0;0.0277;0.1262;0.0328;0;0;0;0;0;0;0;0;0;0;0;0
11;13;1;1;1;0;0.0223;0.0732;0.0188;0;0;0;0;0;0;0;0;0;0;0;0
12;13;1;1;1;0;0.0178;0.058;0.0604;0;0;0;0;0;0;0;0;0;0;0;0
12;16;1;1;1;0;0.018;0.0813;0.0216;0;0;0;0;0;0;0;0;0;0;0;0
12;17;1;1;1;0;0.0397;0.179;0.0476;0;0;0;0;0;0;0;0;0;0;0;0
14;15;1;1;1;0;0.0171;0.0547;0.0148;0;0;0;0;0;0;0;0;0;0;0;0
18;19;1;1;1;0;0.461;0.685;0;0;0;0;0;0;0;0;0;0;0;0;0
19;20;1;1;1;0;0.283;0.434;0;0;0;0;0;0;0;0;0;0;0;0;0
21;20;1;1;1;0;0;0.7767;0;0;0;0;0;0;1.043;0;0;0;0;0;0
21;22;1;1;1;0;0.0736;0.117;0;0;0;0;0;0;0;0;0;0;0;0;0
22;23;1;1;1;0;0.0099;0.0152;0;0;0;0;0;0;0;0;0;0;0;0;0
23;24;1;1;1;0;0.166;0.256;0.0084;0;0;0;0;0;0;0;0;0;0;0;0
24;25;1;1;1;0;0;1.182;0;0;0;0;0;0;1;0;0;0;0;0;0
24;25;1;1;1;0;0;1.23;0;0;0;0;0;0;1;0;0;0;0;0;0
24;26;1;1;1;0;0;0.0473;0;0;0;0;0;0;1.043;0;0;0;0;0;0
26;27;1;1;1;0;0.165;0.254;0;0;0;0;0;0;0;0;0;0;0;0;0
27;28;1;1;1;0;0.0618;0.0954;0;0;0;0;0;0;0;0;0;0;0;0;0
28;29;1;1;1;0;0.0418;0.0587;0;0;0;0;0;0;0;0;0;0;0;0;0
7;29;1;1;1;0;0;0.0648;0;0;0;0;0;0;0.967;0;0;0;0;0;0
25;30;1;1;1;0;0.135;0.202;0;0;0;0;0;0;0;0;0;0;0;0;0
30;31;1;1;1;0;0.326;0.497;0;0;0;0;0;0;0;0;0;0;0;0;0
31;32;1;1;1;0;0.507;0.755;0;0;0;0;0;0;0;0;0;0;0;0;0
32;33;1;1;1;0;0.0392;0.036;0;0;0;0;0;0;0;0;0;0;0;0;0
34;32;1;1;1;0;0;0.953;0;0;0;0;0;0;0.975;0;0;0;0;0;0
34;35;1;1;1;0;0.052;0.078;0.0032;0;0;0;0;0;0;0;0;0;0;0;0
35;36;1;1;1;0;0.043;0.0537;0.0016;0;0;0;0;0;0;0;0;0;0;0;0
36;37;1;1;1;0;0.029;0.0366;0;0;0;0;0;0;0;0;0;0;0;0;0
37;38;1;1;1;0;0.0651;0.1009;0.002;0;0;0;0;0;0;0;0;0;0;0;0
37;39;1;1;1;0;0.0239;0.0379;0;0;0;0;0;0;0;0;0;0;0;0;0
36;40;1;1;1;0;0.03;0.0466;0;0;0;0;0;0;0;0;0;0;0;0;0
22;38;1;1;1;0;0.0192;0.0295;0;0;0;0;0;0;0;0;0;0;0;0;0
11;41;1;1;1;0;0;0.749;0;0;0;0;0;0;0.955;0;0;0;0;0;0
41;42;1;1;1;0;0.207;0.352;0;0;0;0;0;0;0;0;0;0;0;0;0
41;43;1;1;1;0;0;0.412;0;0;0;0;0;0;0;0;0;0;0;0;0
38;44;1;1;1;0;0.0289;0.0585;0.002;0;0;0;0;0;0;0;0;0;0;0;0
15;45;1;1;1;0;0;0.1042;0;0;0;0;0;0;0.955;0;0;0;0;0;0
14;46;1;1;1;0;0;0.0735;0;0;0;0;0;0;0.9;0;0;0;0;0;0
46;47;1;1;1;0;0.023;0.068;0.0032;0;0;0;0;0;0;0;0;0;0;0;0
47;48;1;1;1;0;0.0182;0.0233;0;0;0;0;0;0;0;0;0;0;0;0;0
48;49;1;1;1;0;0.0834;0.129;0.0048;0;0;0;0;0;0;0;0;0;0;0;0
49;50;1;1;1;0;0.0801;0.128;0;0;0;0;0;0;0;0;0;0;0;0;0
50;51;1;1;1;0;0.1386;0.22;0;0;0;0;0;0;0;0;0;0;0;0;0
10;51;1;1;1;0;0;0.0712;0;0;0;0;0;0;0.93;0;0;0;0;0;0
13;49;1;1;1;0;0;0.191;0;0;0;0;0;0;0.895;0;0;0;0;0;0
