Bus_Item,Bus_ID,Bus_Name,LoadFlow,LossZone,BusType,V0,Th0,Pd,Qd,Pg0,Qg0,Base_kV,Vgen,Max_MVAR,Min_MVAR,gshb,bshb,n0,Remot_Cont,Scost
1,1,Bus 1     HV,1,1,3,1.06,0,0,0,232.4,-16.9,100,1.06,10,0,0,0,0,0,80
2,2,Bus 2     HV,1,1,2,1.045,-4.98,21.7,12.7,40,42.4,100,1.045,50,-40,0,0,0,0,80
3,3,Bus 3     HV,1,1,2,1.01,-12.72,94.2,19,0,23.4,100,1.01,40,0,0,0,0,0,80
4,4,Bus 4     HV,1,1,0,1.019,-10.33,47.8,-3.9,0,0,100,0,0,0,0,0,0,0,80
5,5,Bus 5     HV,1,1,0,1.02,-8.78,7.6,1.6,0,0,100,0,0,0,0,0,0,0,80
6,6,Bus 6     LV,1,1,2,1.07,-14.22,11.2,7.5,0,12.2,100,1.07,24,-6,0,0,0,0,80
7,7,Bus 7     ZV,1,1,0,1.062,-13.37,0,0,0,0,100,0,0,0,0,0,0,0,80
8,8,Bus 8     TV,1,1,2,1.09,-13.36,0,0,0,17.4,100,1.09,24,-6,0,0,0,0,80
9,9,Bus 9     LV,1,1,0,1.056,-14.94,29.5,16.6,0,0,100,0,0,0,0,0.19,1,0,80
10,10,Bus 10     LV,1,1,0,1.051,-15.1,9,5.8,0,0,100,0,0,0,0,0,0,0,80
11,11,Bus 11     LV,1,1,0,1.057,-14.79,3.5,1.8,0,0,100,0,0,0,0,0,0,0,80
12,12,Bus 12     LV,1,1,0,1.055,-15.07,6.1,1.6,0,0,100,0,0,0,0,0,0,0,80
13,13,Bus 13     LV,1,1,0,1.05,-15.16,13.5,5.8,0,0,100,0,0,0,0,0,0,0,80
14,14,Bus 14     LV,1,1,0,1.036,-16.04,14.9,5,0,0,100,0,0,0,0,0,0,0,80
